parliamentarian_1,parliamentarian_2,proportion_agreement,region_1,region_2,partido_1,partido_2,Diputado_1,Diputado_2,sector_1,sector_2,person_1,person_2,label,sentiment,in_degree_1,out_degree_1,in_degree_2,out_degree_2,total_degree_1,total_degree_2,common_neighbors,page_rank_1,page_rank_2,betweenness_1,betweenness_2,closeness_1,closeness_2,eigenvector_1,eigenvector_2,cluster_1,cluster_2
"Kaiser, Johannes","Naranjo, Jaime",0.9710144927536232,Región Metropolitana de Santiago (47),Región del Maule (11),PLR,PS,Johannes Kaiser Barents-Von Hohenhagen,Jaime Naranjo Ortiz,derecha,centro_izquierda,johannes kaiser,jaime naranjo,neutral,neutral,5,10,3,5,50.0,32.0,0,0.007091671786560791,0.004245148202247387,0.010291768328105029,0.0019823980481003833,0.08596491228070174,0.077102053915276,0.08644437652545693,0.09902108626546893,cluster_2,cluster_1
"Kaiser, Johannes","Mix, Claudia",0.9762845849802372,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PLR,Comunes,Johannes Kaiser Barents-Von Hohenhagen,Claudia Mix Jimenez,derecha,izquierda,johannes kaiser,claudia mix,neutral,neutral,5,10,2,0,50.0,13.0,0,0.007091671786560791,0.0041704415521219606,0.010291768328105029,0.0,0.08596491228070174,0.07925696594427244,0.08644437652545693,0.0312158926215748,cluster_2,cluster_2
"Benavente, Gustavo","Cariola, Karol",0.9815546772068512,Región del Maule (11),Región Metropolitana de Santiago (47),UDI,PCCh,Gustavo Benavente Vergara,Karol Cariola Oliva,centro_derecha,izquierda,gustavo benavente,karol cariola,neutral,neutral,0,9,12,24,24.0,111.0,1,0.0029305674310870604,0.006183932373787416,0.0,0.023744309672551225,0.0,0.0805921052631579,0.03778611389218854,0.22865286518953865,cluster_5,cluster_2
"Cuello, Luis Alberto","Ramirez, Guillermo",0.9828722002635046,Región de Valparaíso (16),Región Metropolitana de Santiago (47),PCCh,UDI,Luis Cuello Pena y Lillo,Guillermo Ramirez Diez,izquierda,centro_derecha,luis cuello,guillermo ramírez,negative,negative,10,9,6,4,35.0,43.0,0,0.006746641865003008,0.0070398154594340095,0.006172106112198479,0.0015131448612191035,0.07922149122807018,0.07894736842105263,0.06048908377593629,0.11681728902640026,cluster_3,cluster_5
"Cariola, Karol","Schalper, Diego",0.9828722002635046,Región Metropolitana de Santiago (47),Región del Libertador General Bernardo O'Higgins (9),PCCh,RN,Karol Cariola Oliva,Diego Schalper Sepulveda,izquierda,centro_derecha,karol cariola,diego schalper,negative,negative,12,24,17,1,111.0,86.0,2,0.006183932373787416,0.03442255882263488,0.023744309672551225,0.0033738803410291733,0.0805921052631579,0.2331288343558282,0.22865286518953865,0.1855878281335197,cluster_2,cluster_4
"Cariola, Karol","Schalper, Diego",0.9828722002635046,Región Metropolitana de Santiago (47),Región del Libertador General Bernardo O'Higgins (9),PCCh,RN,Karol Cariola Oliva,Diego Schalper Sepulveda,izquierda,centro_derecha,karol cariola,diego schalper,neutral,neutral,12,24,17,1,111.0,86.0,2,0.006183932373787416,0.03442255882263488,0.023744309672551225,0.0033738803410291733,0.0805921052631579,0.2331288343558282,0.22865286518953865,0.1855878281335197,cluster_2,cluster_4
"Naveillan, Gloria","Pizarro, Lorena",0.9855072463768116,Región de la Araucanía (11),Región Metropolitana de Santiago (47),Ind-PLR,PCCh,Gloria Naveillan Arriagada,Lorena Pizarro Sierra,derecha,izquierda,gloria naveillan,lorena pizarro,negative,negative,4,4,6,0,13.0,23.0,0,0.005221845886524386,0.010913261748690546,0.002015074939003137,0.0,0.04447368421052632,0.1723790322580645,0.0480265738314487,0.06797094773187734,cluster_4,cluster_4
"Acevedo, Maria Candelaria","Matheson, Christian",0.9960474308300395,Región del Biobío (13),Región de Magallanes y la Antártica Chilena (3),PCCh,Ind-Evópoli,Maria Candelaria Acevedo Saez,Christian Matheson Villan,izquierda,centro_derecha,candelaria acevedo,christian matheson,neutral,neutral,0,17,3,3,31.0,11.0,4,0.0029305674310870604,0.003661808492581459,0.0,0.0008659894770037677,0.0,0.033305921052631575,0.025654982901228494,0.017632608638413615,cluster_3,cluster_5
"Alessandri, Jorge","Cariola, Karol",0.9986824769433466,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),UDI,PCCh,Jorge Alessandri Vergara,Karol Cariola Oliva,centro_derecha,izquierda,jorge alessandri,karol cariola,neutral,neutral,0,12,12,24,65.0,111.0,3,0.0029305674310870604,0.006183932373787416,0.0,0.023744309672551225,0.0,0.0805921052631579,0.13853695226492746,0.22865286518953865,cluster_2,cluster_2
"Matheson, Christian","Morales, Javiera",1.0,Región de Magallanes y la Antártica Chilena (3),Región de Magallanes y la Antártica Chilena (3),Ind-Evópoli,CS,Christian Matheson Villan,Javiera Morales Alvarado,centro_derecha,izquierda,christian matheson,javiera morales,neutral,neutral,3,3,2,5,11.0,15.0,1,0.003661808492581459,0.004167435451891711,0.0008659894770037677,0.00162305598433169,0.033305921052631575,0.03132832080200501,0.017632608638413615,0.017380491066476156,cluster_5,cluster_1
"Hertz, Carmen","Moreira, Cristhian",1.0,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PCCh,UDI,Carmen Hertz Cadiz,Cristhian Moreira Barros,izquierda,centro_derecha,carmen hertz,cristhian moreira,negative,negative,17,9,9,3,47.0,29.0,1,0.015765241675772004,0.008696469397916172,0.01072586426586078,0.00235999767630998,0.12224108658743632,0.11418376449598572,0.1886280271762846,0.05358062637889388,cluster_3,cluster_5
"Meza, Jose Carlos","Tello, Carolina",1.0013175230566536,Región Metropolitana de Santiago (47),Región de Coquimbo (7),PLR,PCCh,Jose Carlos Meza Pereira,Carolina Tello Rojas,derecha,izquierda,jose meza,carolina tello,positive,positive,1,2,5,0,6.0,13.0,0,0.003157728207781002,0.008014735687572794,0.00016120599512025097,0.0,0.008771929824561403,0.07404815229563269,0.00583649246934448,0.02121186658634737,cluster_7,cluster_7
"Hertz, Carmen","Ossandon, Ximena",1.002635046113307,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PCCh,RN,Carmen Hertz Cadiz,Ximena Ossandon Irarrazabal,izquierda,centro_derecha,carmen hertz,ximena ossandon,negative,negative,17,9,2,0,47.0,9.0,0,0.015765241675772004,0.006910467851865143,0.01072586426586078,0.0,0.12224108658743632,0.07802400738688828,0.1886280271762846,0.014161028728969327,cluster_3,cluster_3
"Morales, Javiera","Schalper, Diego",1.0065876152832676,Región de Magallanes y la Antártica Chilena (3),Región del Libertador General Bernardo O'Higgins (9),CS,RN,Javiera Morales Alvarado,Diego Schalper Sepulveda,izquierda,centro_derecha,javiera morales,diego schalper,positive,positive,2,5,17,1,15.0,86.0,0,0.004167435451891711,0.03442255882263488,0.00162305598433169,0.0033738803410291733,0.03132832080200501,0.2331288343558282,0.017380491066476156,0.1855878281335197,cluster_1,cluster_4
"Kaiser, Johannes","Schneider, Emilia",1.0144927536231885,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PLR,CS,Johannes Kaiser Barents-Von Hohenhagen,Emilia Schneider Videla,derecha,izquierda,johannes kaiser,emilia schneider,negative,negative,5,10,7,2,50.0,32.0,0,0.007091671786560791,0.010069789815173301,0.010291768328105029,0.0029844893691181595,0.08596491228070174,0.1252718573292736,0.08644437652545693,0.06963389944846664,cluster_2,cluster_1
"Kaiser, Johannes","Schneider, Emilia",1.0144927536231885,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PLR,CS,Johannes Kaiser Barents-Von Hohenhagen,Emilia Schneider Videla,derecha,izquierda,johannes kaiser,emilia schneider,negative,negative,5,10,7,2,50.0,32.0,0,0.007091671786560791,0.010069789815173301,0.010291768328105029,0.0029844893691181595,0.08596491228070174,0.1252718573292736,0.08644437652545693,0.06963389944846664,cluster_2,cluster_1
"Kaiser, Johannes","Schneider, Emilia",1.0144927536231885,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PLR,CS,Johannes Kaiser Barents-Von Hohenhagen,Emilia Schneider Videla,derecha,izquierda,johannes kaiser,emilia schneider,negative,negative,5,10,7,2,50.0,32.0,0,0.007091671786560791,0.010069789815173301,0.010291768328105029,0.0029844893691181595,0.08596491228070174,0.1252718573292736,0.08644437652545693,0.06963389944846664,cluster_2,cluster_1
"Kaiser, Johannes","Schneider, Emilia",1.0144927536231885,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PLR,CS,Johannes Kaiser Barents-Von Hohenhagen,Emilia Schneider Videla,derecha,izquierda,johannes kaiser,emilia schneider,negative,negative,5,10,7,2,50.0,32.0,0,0.007091671786560791,0.010069789815173301,0.010291768328105029,0.0029844893691181595,0.08596491228070174,0.1252718573292736,0.08644437652545693,0.06963389944846664,cluster_2,cluster_1
"Kaiser, Johannes","Schneider, Emilia",1.0144927536231885,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PLR,CS,Johannes Kaiser Barents-Von Hohenhagen,Emilia Schneider Videla,derecha,izquierda,johannes kaiser,emilia schneider,neutral,neutral,5,10,7,2,50.0,32.0,0,0.007091671786560791,0.010069789815173301,0.010291768328105029,0.0029844893691181595,0.08596491228070174,0.1252718573292736,0.08644437652545693,0.06963389944846664,cluster_2,cluster_1
"Kaiser, Johannes","Schneider, Emilia",1.0144927536231885,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PLR,CS,Johannes Kaiser Barents-Von Hohenhagen,Emilia Schneider Videla,derecha,izquierda,johannes kaiser,emilia schneider,negative,negative,5,10,7,2,50.0,32.0,0,0.007091671786560791,0.010069789815173301,0.010291768328105029,0.0029844893691181595,0.08596491228070174,0.1252718573292736,0.08644437652545693,0.06963389944846664,cluster_2,cluster_1
"Acevedo, Maria Candelaria","Moreira, Cristhian",1.0171277997364954,Región del Biobío (13),Región Metropolitana de Santiago (47),PCCh,UDI,Maria Candelaria Acevedo Saez,Cristhian Moreira Barros,izquierda,centro_derecha,candelaria acevedo,cristhian moreira,positive,positive,0,17,9,3,31.0,29.0,4,0.0029305674310870604,0.008696469397916172,0.0,0.00235999767630998,0.0,0.11418376449598572,0.025654982901228494,0.05358062637889388,cluster_3,cluster_5
"Acevedo, Maria Candelaria","Moreira, Cristhian",1.0171277997364954,Región del Biobío (13),Región Metropolitana de Santiago (47),PCCh,UDI,Maria Candelaria Acevedo Saez,Cristhian Moreira Barros,izquierda,centro_derecha,candelaria acevedo,cristhian moreira,neutral,neutral,0,17,9,3,31.0,29.0,4,0.0029305674310870604,0.008696469397916172,0.0,0.00235999767630998,0.0,0.11418376449598572,0.025654982901228494,0.05358062637889388,cluster_3,cluster_5
"Hertz, Carmen","Schalper, Diego",1.0197628458498025,Región Metropolitana de Santiago (47),Región del Libertador General Bernardo O'Higgins (9),PCCh,RN,Carmen Hertz Cadiz,Diego Schalper Sepulveda,izquierda,centro_derecha,carmen hertz,diego schalper,negative,negative,17,9,17,1,47.0,86.0,1,0.015765241675772004,0.03442255882263488,0.01072586426586078,0.0033738803410291733,0.12224108658743632,0.2331288343558282,0.1886280271762846,0.1855878281335197,cluster_3,cluster_4
"Hertz, Carmen","Schalper, Diego",1.0197628458498025,Región Metropolitana de Santiago (47),Región del Libertador General Bernardo O'Higgins (9),PCCh,RN,Carmen Hertz Cadiz,Diego Schalper Sepulveda,izquierda,centro_derecha,carmen hertz,diego schalper,negative,negative,17,9,17,1,47.0,86.0,1,0.015765241675772004,0.03442255882263488,0.01072586426586078,0.0033738803410291733,0.12224108658743632,0.2331288343558282,0.1886280271762846,0.1855878281335197,cluster_3,cluster_4
"Cariola, Karol","Flores, Camila",1.0223978919631094,Región Metropolitana de Santiago (47),Región de Valparaíso (16),PCCh,RN,Karol Cariola Oliva,Camila Flores Oporto,izquierda,centro_derecha,karol cariola,camila flores,positive,positive,12,24,2,4,111.0,33.0,2,0.006183932373787416,0.003539362156779152,0.023744309672551225,0.006323393334329201,0.0805921052631579,0.057610241820768134,0.22865286518953865,0.10602726115872815,cluster_2,cluster_2
"Alessandri, Jorge","Winter, Gonzalo",1.0316205533596838,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),UDI,CS,Jorge Alessandri Vergara,Gonzalo Winter Etcheberry,centro_derecha,izquierda,jorge alessandri,gonzalo winter,negative,negative,0,12,10,1,65.0,41.0,3,0.0029305674310870604,0.03589801482299446,0.0,0.0007485894009944202,0.0,0.23796671165092217,0.13853695226492746,0.1200664607204339,cluster_2,cluster_1
"Riquelme, Marcela","Schalper, Diego",1.0421607378129116,Región del Libertador General Bernardo O'Higgins (9),Región del Libertador General Bernardo O'Higgins (9),Ind-CS,RN,Marcela Riquelme Aliaga,Diego Schalper Sepulveda,izquierda,centro_derecha,marcela riquelme,diego schalper,positive,positive,6,2,17,1,23.0,86.0,1,0.010327336894718044,0.03442255882263488,0.0034562468533364307,0.0033738803410291733,0.15512465373961218,0.2331288343558282,0.062083410126732755,0.1855878281335197,cluster_4,cluster_4
"Ramirez, Guillermo","Yeomans, Gael",1.0421607378129116,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),UDI,CS,Guillermo Ramirez Diez,Gael Yeomans Araya,centro_derecha,izquierda,guillermo ramírez,gael yeomans,neutral,neutral,6,4,18,0,43.0,47.0,0,0.0070398154594340095,0.061820117550024575,0.0015131448612191035,0.0,0.07894736842105263,0.2627212389380531,0.11681728902640026,0.13104403972365736,cluster_5,cluster_1
"Naveillan, Gloria","Veloso, Consuelo",1.0434782608695652,Región de la Araucanía (11),Región del Maule (11),Ind-PLR,RD,Gloria Naveillan Arriagada,Consuelo Veloso Avila,derecha,izquierda,gloria naveillan,consuelo veloso,negative,negative,4,4,3,0,13.0,11.0,0,0.005221845886524386,0.011266628375096751,0.002015074939003137,0.0,0.04447368421052632,0.15059927045336113,0.0480265738314487,0.028571848716827407,cluster_4,cluster_4
"Bravo, Ana Maria","Ramirez, Guillermo",1.0487483530961792,Región de Los Ríos (5),Región Metropolitana de Santiago (47),PS,UDI,Ana Maria Bravo Castro,Guillermo Ramirez Diez,centro_izquierda,centro_derecha,marta bravo,guillermo ramírez,negative,negative,0,4,6,4,12.0,43.0,1,0.0029305674310870604,0.0070398154594340095,0.0,0.0015131448612191035,0.0,0.07894736842105263,0.02537505336107635,0.11681728902640026,cluster_5,cluster_5
"Kaiser, Johannes","Venegas, Nelson",1.0500658761528328,Región Metropolitana de Santiago (47),Región de Valparaíso (16),PLR,PS,Johannes Kaiser Barents-Von Hohenhagen,Nelson Venegas Salazar,derecha,centro_izquierda,johannes kaiser,nelson venegas,positive,positive,5,10,3,0,50.0,12.0,0,0.007091671786560791,0.023389551321005203,0.010291768328105029,0.0,0.08596491228070174,0.17773477812177502,0.08644437652545693,0.031747236106508286,cluster_2,cluster_2
"Cariola, Karol","Longton, Andres",1.0540184453227932,Región Metropolitana de Santiago (47),Región de Valparaíso (16),PCCh,RN,Karol Cariola Oliva,Andres Longton Herrera,izquierda,centro_derecha,karol cariola,andrés longton,positive,positive,12,24,5,0,111.0,55.0,1,0.006183932373787416,0.004829162866865118,0.023744309672551225,0.0,0.0805921052631579,0.0743927125506073,0.22865286518953865,0.08016170995105579,cluster_2,cluster_2
"Cariola, Karol","Longton, Andres",1.0540184453227932,Región Metropolitana de Santiago (47),Región de Valparaíso (16),PCCh,RN,Karol Cariola Oliva,Andres Longton Herrera,izquierda,centro_derecha,karol cariola,andrés longton,neutral,neutral,12,24,5,0,111.0,55.0,1,0.006183932373787416,0.004829162866865118,0.023744309672551225,0.0,0.0805921052631579,0.0743927125506073,0.22865286518953865,0.08016170995105579,cluster_2,cluster_2
"Naveillan, Gloria","Schneider, Emilia",1.0579710144927537,Región de la Araucanía (11),Región Metropolitana de Santiago (47),Ind-PLR,CS,Gloria Naveillan Arriagada,Emilia Schneider Videla,derecha,izquierda,gloria naveillan,emilia schneider,negative,negative,4,4,7,2,13.0,32.0,0,0.005221845886524386,0.010069789815173301,0.002015074939003137,0.0029844893691181595,0.04447368421052632,0.1252718573292736,0.0480265738314487,0.06963389944846664,cluster_4,cluster_1
"Hertz, Carmen","Schubert, Stephan",1.064558629776021,Región Metropolitana de Santiago (47),Región de la Araucanía (11),PCCh,Ind-PLR,Carmen Hertz Cadiz,Stephan Schubert Rubio,izquierda,derecha,carmen hertz,stephan schubert,negative,negative,17,9,4,0,47.0,7.0,0,0.015765241675772004,0.005719208889485308,0.01072586426586078,0.0,0.12224108658743632,0.09726720647773279,0.1886280271762846,0.04568270191261682,cluster_3,cluster_4
"Giordano, Andres","Perez, Marlene",1.064558629776021,Región Metropolitana de Santiago (47),Región del Biobío (13),Ind-RD,Ind-UDI,Andres Giordano Salazar,Marlene Perez Cartes,izquierda,centro_derecha,andrés giordano,perez,positive,positive,13,2,4,0,20.0,8.0,0,0.009180072714700142,0.009101940676635773,0.0008583130010456605,0.0,0.095,0.11490359562272018,0.07605611507394704,0.030417035506824036,cluster_3,cluster_1
"De la Carrera, Gonzalo","Riquelme, Marcela",1.069828722002635,Región Metropolitana de Santiago (47),Región del Libertador General Bernardo O'Higgins (9),Ind-PLR,Ind-CS,Gonzalo de la Carrera Correa,Marcela Riquelme Aliaga,derecha,izquierda,gonzalo de la carrera,marcela riquelme,negative,negative,2,9,6,2,33.0,23.0,3,0.00340347517388777,0.010327336894718044,0.002716590731796378,0.0034562468533364307,0.05592105263157895,0.15512465373961218,0.11115937553323059,0.062083410126732755,cluster_4,cluster_4
"De la Carrera, Gonzalo","Riquelme, Marcela",1.069828722002635,Región Metropolitana de Santiago (47),Región del Libertador General Bernardo O'Higgins (9),Ind-PLR,Ind-CS,Gonzalo de la Carrera Correa,Marcela Riquelme Aliaga,derecha,izquierda,gonzalo de la carrera,marcela riquelme,negative,negative,2,9,6,2,33.0,23.0,3,0.00340347517388777,0.010327336894718044,0.002716590731796378,0.0034562468533364307,0.05592105263157895,0.15512465373961218,0.11115937553323059,0.062083410126732755,cluster_4,cluster_4
"De la Carrera, Gonzalo","Riquelme, Marcela",1.069828722002635,Región Metropolitana de Santiago (47),Región del Libertador General Bernardo O'Higgins (9),Ind-PLR,Ind-CS,Gonzalo de la Carrera Correa,Marcela Riquelme Aliaga,derecha,izquierda,gonzalo de la carrera,marcela riquelme,negative,negative,2,9,6,2,33.0,23.0,3,0.00340347517388777,0.010327336894718044,0.002716590731796378,0.0034562468533364307,0.05592105263157895,0.15512465373961218,0.11115937553323059,0.062083410126732755,cluster_4,cluster_4
"Castro, Jose Miguel","Tello, Carolina",1.0711462450592886,Región de Antofagasta (5),Región de Coquimbo (7),RN,PCCh,Jose Miguel Castro Bascunan,Carolina Tello Rojas,centro_derecha,izquierda,jose miguel castro,carolina tello,positive,positive,1,11,5,0,30.0,13.0,0,0.0033456953591831633,0.008014735687572794,0.001989659579412107,0.0,0.006578947368421052,0.07404815229563269,0.03476156667296238,0.02121186658634737,cluster_4,cluster_7
"Kaiser, Johannes","Mirosevic, Vlado",1.0816864295125164,Región Metropolitana de Santiago (47),Región de Arica y Parinacota (3),PLR,PL,Johannes Kaiser Barents-Von Hohenhagen,Vlado Mirosevic Verdugo,derecha,centro_izquierda,johannes kaiser,vlado mirosevic,neutral,neutral,5,10,18,7,50.0,98.0,3,0.007091671786560791,0.01924656979098343,0.010291768328105029,0.012840871707201438,0.08596491228070174,0.18804222093695777,0.08644437652545693,0.24624150615810503,cluster_2,cluster_1
"Cid, Sofia","Manouchehri, Daniel",1.0816864295125164,Región de Atacama (5),Región de Coquimbo (7),RN,PS,Sofia Cid Versalovic,Daniel Manouchehri Moghadam Kashan Lobos,centro_derecha,centro_izquierda,sofia cid,daniel manouchehri,neutral,neutral,0,1,6,1,5.0,17.0,0,0.0029305674310870604,0.008388234844777447,0.0,0.0002396305332868595,0.0,0.07792809488510008,0.012167991007958033,0.026859832443703383,cluster_8,cluster_8
"Araya, Cristian","Manouchehri, Daniel",1.08300395256917,Región Metropolitana de Santiago (47),Región de Coquimbo (7),PLR,PS,Cristian Araya Lerdo de Tejada,Daniel Manouchehri Moghadam Kashan Lobos,derecha,centro_izquierda,cristian araya,daniel manouchehri,neutral,neutral,0,3,6,1,11.0,17.0,0,0.0029305674310870604,0.008388234844777447,0.0,0.0002396305332868595,0.0,0.07792809488510008,0.008054926901414065,0.026859832443703383,cluster_2,cluster_8
