parliamentarian_1,parliamentarian_2,proportion_agreement,region_1,region_2,partido_1,partido_2,Diputado_1,Diputado_2,sector_1,sector_2,Unnamed: 0,person_1,person_2,label,sentiment,date,original_index
"Barchiesi, Chiara","Pizarro, Lorena",0.8787878787878788,Región de Valparaíso (16),Región Metropolitana de Santiago (47),PLR,PCCh,Chiara Barchiesi Chavez,Lorena Pizarro Sierra,derecha,izquierda,2667.0,chiara barchiesi,lorena pizarro,negative,negative,Unknown,682.0
"Acevedo, Maria Candelaria","Kaiser, Johannes",0.8787878787878788,Región del Biobío (13),Región Metropolitana de Santiago (47),PCCh,PLR,Maria Candelaria Acevedo Saez,Johannes Kaiser Barents-Von Hohenhagen,izquierda,derecha,,,,,no_link_found,,
"Barrera, Boris","Kaiser, Johannes",0.8787878787878788,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PCCh,PLR,Boris Barrera Moreno,Johannes Kaiser Barents-Von Hohenhagen,izquierda,derecha,,,,,no_link_found,,
"Bobadilla, Sergio","Pizarro, Lorena",0.8827404479578392,Región del Biobío (13),Región Metropolitana de Santiago (47),UDI,PCCh,Sergio Bobadilla Munoz,Lorena Pizarro Sierra,centro_derecha,izquierda,,,,,no_link_found,,
"Castillo, Nathalie","Kaiser, Johannes",0.8840579710144928,Región de Coquimbo (7),Región Metropolitana de Santiago (47),PCCh,PLR,Nathalie Castillo Rojas,Johannes Kaiser Barents-Von Hohenhagen,izquierda,derecha,,,,,no_link_found,,
"Cuello, Luis Alberto","Kaiser, Johannes",0.8840579710144928,Región de Valparaíso (16),Región Metropolitana de Santiago (47),PCCh,PLR,Luis Cuello Pena y Lillo,Johannes Kaiser Barents-Von Hohenhagen,izquierda,derecha,,,,,no_link_found,,
"Cuello, Luis Alberto","Romero, Agustin",0.8853754940711462,Región de Valparaíso (16),Región Metropolitana de Santiago (47),PCCh,PLR,Luis Cuello Pena y Lillo,Agustin Romero Leiva,izquierda,derecha,,,,,no_link_found,,
"Romero, Agustin","Serrano, Daniela",0.8866930171277997,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PLR,PCCh,Agustin Romero Leiva,Daniela Serrano Salazar,derecha,izquierda,,,,,no_link_found,,
"Kaiser, Johannes","Pizarro, Lorena",0.8866930171277997,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PLR,PCCh,Johannes Kaiser Barents-Von Hohenhagen,Lorena Pizarro Sierra,derecha,izquierda,1393.0,johannes kaiser,lorena pizarro,negative,negative,Unknown,368.0
"Ramirez, Matias","Romero, Agustin",0.8906455862977603,Región de Tarapacá (3),Región Metropolitana de Santiago (47),PCCh,PLR,Matias Ramirez Pascal,Agustin Romero Leiva,izquierda,derecha,,,,,no_link_found,,
"Gonzalez, Felix","Romero, Leonidas",0.8932806324110671,Región del Biobío (13),Región del Biobío (13),PEV,Ind-RN,Felix Gonzalez Gatica,Leonidas Romero Saez,izquierda,centro_derecha,,,,,no_link_found,,
"Ojeda, Mauricio","Riquelme, Marcela",0.8932806324110671,Región de la Araucanía (11),Región del Libertador General Bernardo O'Higgins (9),Ind-PLR,Ind-CS,Mauricio Ojeda Rebolledo,Marcela Riquelme Aliaga,derecha,izquierda,,,,,no_link_found,,
"Serrano, Daniela","Sanchez, Luis",0.8945981554677207,Región Metropolitana de Santiago (47),Región de Valparaíso (16),PCCh,PLR,Daniela Serrano Salazar,Luis Sanchez Ossa,izquierda,derecha,,,,,no_link_found,,
"Ramirez, Matias","Sanchez, Luis",0.8959156785243741,Región de Tarapacá (3),Región de Valparaíso (16),PCCh,PLR,Matias Ramirez Pascal,Luis Sanchez Ossa,izquierda,derecha,,,,,no_link_found,,
"Cuello, Luis Alberto","Sanchez, Luis",0.8959156785243741,Región de Valparaíso (16),Región de Valparaíso (16),PCCh,PLR,Luis Cuello Pena y Lillo,Luis Sanchez Ossa,izquierda,derecha,,,,,no_link_found,,
"Acevedo, Maria Candelaria","Sanchez, Luis",0.8959156785243741,Región del Biobío (13),Región de Valparaíso (16),PCCh,PLR,Maria Candelaria Acevedo Saez,Luis Sanchez Ossa,izquierda,derecha,,,,,no_link_found,,
"Pizarro, Lorena","Schubert, Stephan",0.8972332015810277,Región Metropolitana de Santiago (47),Región de la Araucanía (11),PCCh,Ind-PLR,Lorena Pizarro Sierra,Stephan Schubert Rubio,izquierda,derecha,,,,,no_link_found,,
"Barchiesi, Chiara","Ramirez, Matias",0.8972332015810277,Región de Valparaíso (16),Región de Tarapacá (3),PLR,PCCh,Chiara Barchiesi Chavez,Matias Ramirez Pascal,derecha,izquierda,,,,,no_link_found,,
"Acevedo, Maria Candelaria","Meza, Jose Carlos",0.8985507246376812,Región del Biobío (13),Región Metropolitana de Santiago (47),PCCh,PLR,Maria Candelaria Acevedo Saez,Jose Carlos Meza Pereira,izquierda,derecha,,,,,no_link_found,,
"Ramirez, Matias","Schubert, Stephan",0.8998682476943346,Región de Tarapacá (3),Región de la Araucanía (11),PCCh,Ind-PLR,Matias Ramirez Pascal,Stephan Schubert Rubio,izquierda,derecha,,,,,no_link_found,,
"Castillo, Nathalie","Schubert, Stephan",0.8998682476943346,Región de Coquimbo (7),Región de la Araucanía (11),PCCh,Ind-PLR,Nathalie Castillo Rojas,Stephan Schubert Rubio,izquierda,derecha,,,,,no_link_found,,
"Barrera, Boris","Sanchez, Luis",0.9011857707509882,Región Metropolitana de Santiago (47),Región de Valparaíso (16),PCCh,PLR,Boris Barrera Moreno,Luis Sanchez Ossa,izquierda,derecha,,,,,no_link_found,,
"Acevedo, Maria Candelaria","Ojeda, Mauricio",0.9011857707509882,Región del Biobío (13),Región de la Araucanía (11),PCCh,Ind-PLR,Maria Candelaria Acevedo Saez,Mauricio Ojeda Rebolledo,izquierda,derecha,,,,,no_link_found,,
"Castillo, Nathalie","Lilayu, Daniel",0.9011857707509882,Región de Coquimbo (7),Región de Los Lagos (9),PCCh,UDI,Nathalie Castillo Rojas,Daniel Lilayu Vivanco,izquierda,centro_derecha,,,,,no_link_found,,
"Cariola, Karol","Kaiser, Johannes",0.9038208168642952,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PCCh,PLR,Karol Cariola Oliva,Johannes Kaiser Barents-Von Hohenhagen,izquierda,derecha,459.0,karol cariola,johannes kaiser,positive,positive,Unknown,134.0
"Cariola, Karol","Kaiser, Johannes",0.9038208168642952,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PCCh,PLR,Karol Cariola Oliva,Johannes Kaiser Barents-Von Hohenhagen,izquierda,derecha,2496.0,karol cariola,johannes kaiser,negative,negative,Unknown,634.0
"Cariola, Karol","Kaiser, Johannes",0.9038208168642952,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PCCh,PLR,Karol Cariola Oliva,Johannes Kaiser Barents-Von Hohenhagen,izquierda,derecha,2548.0,karol cariola,johannes kaiser,negative,negative,Unknown,652.0
"Giordano, Andres","Kaiser, Johannes",0.9051383399209486,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),Ind-RD,PLR,Andres Giordano Salazar,Johannes Kaiser Barents-Von Hohenhagen,izquierda,derecha,,,,,no_link_found,,
"Celis, Andres","Fries, Lorena",0.9051383399209486,Región de Valparaíso (16),Región Metropolitana de Santiago (47),RN,CS,Andres Celis Montt,Lorena Fries Monleon,centro_derecha,izquierda,,,,,no_link_found,,
"Jurgensen, Harry","Pizarro, Lorena",0.9051383399209486,Región de Los Lagos (9),Región Metropolitana de Santiago (47),Ind-PLR,PCCh,Harry Jurgensen Rundshagen,Lorena Pizarro Sierra,derecha,izquierda,,,,,no_link_found,,
"Kaiser, Johannes","Riquelme, Marcela",0.9051383399209486,Región Metropolitana de Santiago (47),Región del Libertador General Bernardo O'Higgins (9),PLR,Ind-CS,Johannes Kaiser Barents-Von Hohenhagen,Marcela Riquelme Aliaga,derecha,izquierda,,,,,no_link_found,,
"Castillo, Nathalie","Ojeda, Mauricio",0.906455862977602,Región de Coquimbo (7),Región de la Araucanía (11),PCCh,Ind-PLR,Nathalie Castillo Rojas,Mauricio Ojeda Rebolledo,izquierda,derecha,,,,,no_link_found,,
"Coloma, Juan Antonio","Pizarro, Lorena",0.906455862977602,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),UDI,PCCh,Juan Antonio Coloma Alamos,Lorena Pizarro Sierra,centro_derecha,izquierda,,,,,no_link_found,,
"Kaiser, Johannes","Placencia, Alejandra",0.906455862977602,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PLR,PCCh,Johannes Kaiser Barents-Von Hohenhagen,Alejandra Placencia Cabello,derecha,izquierda,,,,,no_link_found,,
"Ibanez, Diego","Kaiser, Johannes",0.9077733860342556,Región de Valparaíso (16),Región Metropolitana de Santiago (47),CS,PLR,Diego Ibanez Cotroneo,Johannes Kaiser Barents-Von Hohenhagen,izquierda,derecha,,,,,no_link_found,,
"Acevedo, Maria Candelaria","Barchiesi, Chiara",0.9077733860342556,Región del Biobío (13),Región de Valparaíso (16),PCCh,PLR,Maria Candelaria Acevedo Saez,Chiara Barchiesi Chavez,izquierda,derecha,,,,,no_link_found,,
"Castillo, Nathalie","Jurgensen, Harry",0.9077733860342556,Región de Coquimbo (7),Región de Los Lagos (9),PCCh,Ind-PLR,Nathalie Castillo Rojas,Harry Jurgensen Rundshagen,izquierda,derecha,,,,,no_link_found,,
"Barrera, Boris","Ojeda, Mauricio",0.9090909090909092,Región Metropolitana de Santiago (47),Región de la Araucanía (11),PCCh,Ind-PLR,Boris Barrera Moreno,Mauricio Ojeda Rebolledo,izquierda,derecha,,,,,no_link_found,,
"Barrera, Boris","Romero, Agustin",0.9090909090909092,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PCCh,PLR,Boris Barrera Moreno,Agustin Romero Leiva,izquierda,derecha,,,,,no_link_found,,
"Kaiser, Johannes","Nuyado, Emilia",0.9090909090909092,Región Metropolitana de Santiago (47),Región de Los Lagos (9),PLR,PS,Johannes Kaiser Barents-Von Hohenhagen,Emilia Nuyado Ancapichun,derecha,centro_izquierda,,,,,no_link_found,,
"Barrera, Boris","Schubert, Stephan",0.9104084321475626,Región Metropolitana de Santiago (47),Región de la Araucanía (11),PCCh,Ind-PLR,Boris Barrera Moreno,Stephan Schubert Rubio,izquierda,derecha,,,,,no_link_found,,
"Barchiesi, Chiara","Barrera, Boris",0.9104084321475626,Región de Valparaíso (16),Región Metropolitana de Santiago (47),PLR,PCCh,Chiara Barchiesi Chavez,Boris Barrera Moreno,derecha,izquierda,,,,,no_link_found,,
"Kaiser, Johannes","Saez, Jaime",0.9104084321475626,Región Metropolitana de Santiago (47),Región de Los Lagos (9),PLR,RD,Johannes Kaiser Barents-Von Hohenhagen,Jaime Saez Quiroz,derecha,izquierda,,,,,no_link_found,,
"Meza, Jose Carlos","Serrano, Daniela",0.9104084321475626,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PLR,PCCh,Jose Carlos Meza Pereira,Daniela Serrano Salazar,derecha,izquierda,,,,,no_link_found,,
"Araya, Cristian","Pizarro, Lorena",0.911725955204216,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PLR,PCCh,Cristian Araya Lerdo de Tejada,Lorena Pizarro Sierra,derecha,izquierda,,,,,no_link_found,,
"Meza, Jose Carlos","Ramirez, Matias",0.911725955204216,Región Metropolitana de Santiago (47),Región de Tarapacá (3),PLR,PCCh,Jose Carlos Meza Pereira,Matias Ramirez Pascal,derecha,izquierda,,,,,no_link_found,,
"Barrera, Boris","Meza, Jose Carlos",0.911725955204216,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PCCh,PLR,Boris Barrera Moreno,Jose Carlos Meza Pereira,izquierda,derecha,,,,,no_link_found,,
"Cornejo, Eduardo","Ramirez, Matias",0.911725955204216,Región del Libertador General Bernardo O'Higgins (9),Región de Tarapacá (3),UDI,PCCh,Eduardo Cornejo Lagos,Matias Ramirez Pascal,centro_derecha,izquierda,,,,,no_link_found,,
"Bobadilla, Sergio","Castillo, Nathalie",0.911725955204216,Región del Biobío (13),Región de Coquimbo (7),UDI,PCCh,Sergio Bobadilla Munoz,Nathalie Castillo Rojas,centro_derecha,izquierda,,,,,no_link_found,,
"Ojeda, Mauricio","Serrano, Daniela",0.9130434782608696,Región de la Araucanía (11),Región Metropolitana de Santiago (47),Ind-PLR,PCCh,Mauricio Ojeda Rebolledo,Daniela Serrano Salazar,derecha,izquierda,,,,,no_link_found,,
"Lilayu, Daniel","Pizarro, Lorena",0.9143610013175232,Región de Los Lagos (9),Región Metropolitana de Santiago (47),UDI,PCCh,Daniel Lilayu Vivanco,Lorena Pizarro Sierra,centro_derecha,izquierda,,,,,no_link_found,,
"Ojeda, Mauricio","Ramirez, Matias",0.9143610013175232,Región de la Araucanía (11),Región de Tarapacá (3),Ind-PLR,PCCh,Mauricio Ojeda Rebolledo,Matias Ramirez Pascal,derecha,izquierda,,,,,no_link_found,,
"Schubert, Stephan","Serrano, Daniela",0.9143610013175232,Región de la Araucanía (11),Región Metropolitana de Santiago (47),Ind-PLR,PCCh,Stephan Schubert Rubio,Daniela Serrano Salazar,derecha,izquierda,,,,,no_link_found,,
"Araya, Cristian","Castillo, Nathalie",0.9143610013175232,Región Metropolitana de Santiago (47),Región de Coquimbo (7),PLR,PCCh,Cristian Araya Lerdo de Tejada,Nathalie Castillo Rojas,derecha,izquierda,,,,,no_link_found,,
"Meza, Jose Carlos","Riquelme, Marcela",0.9143610013175232,Región Metropolitana de Santiago (47),Región del Libertador General Bernardo O'Higgins (9),PLR,Ind-CS,Jose Carlos Meza Pereira,Marcela Riquelme Aliaga,derecha,izquierda,,,,,no_link_found,,
"Acevedo, Maria Candelaria","Schubert, Stephan",0.9156785243741764,Región del Biobío (13),Región de la Araucanía (11),PCCh,Ind-PLR,Maria Candelaria Acevedo Saez,Stephan Schubert Rubio,izquierda,derecha,,,,,no_link_found,,
"Castillo, Nathalie","Moreno, Benjamin",0.91699604743083,Región de Coquimbo (7),Región del Maule (11),PCCh,PLR,Nathalie Castillo Rojas,Benjamin Moreno Bascur,izquierda,derecha,,,,,no_link_found,,
"Benavente, Gustavo","Pizarro, Lorena",0.91699604743083,Región del Maule (11),Región Metropolitana de Santiago (47),UDI,PCCh,Gustavo Benavente Vergara,Lorena Pizarro Sierra,centro_derecha,izquierda,,,,,no_link_found,,
"Moreno, Benjamin","Pizarro, Lorena",0.91699604743083,Región del Maule (11),Región Metropolitana de Santiago (47),PLR,PCCh,Benjamin Moreno Bascur,Lorena Pizarro Sierra,derecha,izquierda,,,,,no_link_found,,
"Pizarro, Lorena","Ramirez, Guillermo",0.91699604743083,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PCCh,UDI,Lorena Pizarro Sierra,Guillermo Ramirez Diez,izquierda,centro_derecha,,,,,no_link_found,,
"Gazmuri, Ana Maria","Kaiser, Johannes",0.9183135704874836,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),AH,PLR,Ana Maria Gazmuri Vieira,Johannes Kaiser Barents-Von Hohenhagen,izquierda,derecha,,,,,no_link_found,,
"Martinez, Cristobal","Pizarro, Lorena",0.9183135704874836,Región de Ńuble (5),Región Metropolitana de Santiago (47),UDI,PCCh,Cristobal Martinez Ramirez,Lorena Pizarro Sierra,centro_derecha,izquierda,,,,,no_link_found,,
"Pizarro, Lorena","Weisse, Flor",0.9183135704874836,Región Metropolitana de Santiago (47),Región del Biobío (13),PCCh,UDI,Lorena Pizarro Sierra,Flor Weisse Novoa,izquierda,centro_derecha,,,,,no_link_found,,
"Jurgensen, Harry","Serrano, Daniela",0.919631093544137,Región de Los Lagos (9),Región Metropolitana de Santiago (47),Ind-PLR,PCCh,Harry Jurgensen Rundshagen,Daniela Serrano Salazar,derecha,izquierda,,,,,no_link_found,,
"Barrera, Boris","Bobadilla, Sergio",0.919631093544137,Región Metropolitana de Santiago (47),Región del Biobío (13),PCCh,UDI,Boris Barrera Moreno,Sergio Bobadilla Munoz,izquierda,centro_derecha,,,,,no_link_found,,
"Cornejo, Eduardo","Pizarro, Lorena",0.919631093544137,Región del Libertador General Bernardo O'Higgins (9),Región Metropolitana de Santiago (47),UDI,PCCh,Eduardo Cornejo Lagos,Lorena Pizarro Sierra,centro_derecha,izquierda,,,,,no_link_found,,
"Romero, Agustin","Tello, Carolina",0.919631093544137,Región Metropolitana de Santiago (47),Región de Coquimbo (7),PLR,PCCh,Agustin Romero Leiva,Carolina Tello Rojas,derecha,izquierda,,,,,no_link_found,,
"Flores, Camila","Gonzalez, Felix",0.9209486166007904,Región de Valparaíso (16),Región del Biobío (13),RN,PEV,Camila Flores Oporto,Felix Gonzalez Gatica,centro_derecha,izquierda,,,,,no_link_found,,
"Gazmuri, Ana Maria","Romero, Agustin",0.922266139657444,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),AH,PLR,Ana Maria Gazmuri Vieira,Agustin Romero Leiva,izquierda,derecha,,,,,no_link_found,,
"Moreno, Benjamin","Ramirez, Matias",0.922266139657444,Región del Maule (11),Región de Tarapacá (3),PLR,PCCh,Benjamin Moreno Bascur,Matias Ramirez Pascal,derecha,izquierda,,,,,no_link_found,,
"Gonzalez, Felix","Kaiser, Johannes",0.9235836627140976,Región del Biobío (13),Región Metropolitana de Santiago (47),PEV,PLR,Felix Gonzalez Gatica,Johannes Kaiser Barents-Von Hohenhagen,izquierda,derecha,,,,,no_link_found,,
"Barchiesi, Chiara","Cuello, Luis Alberto",0.9235836627140976,Región de Valparaíso (16),Región de Valparaíso (16),PLR,PCCh,Chiara Barchiesi Chavez,Luis Cuello Pena y Lillo,derecha,izquierda,,,,,no_link_found,,
"Lilayu, Daniel","Ramirez, Matias",0.924901185770751,Región de Los Lagos (9),Región de Tarapacá (3),UDI,PCCh,Daniel Lilayu Vivanco,Matias Ramirez Pascal,centro_derecha,izquierda,,,,,no_link_found,,
"Delgado, Viviana","Ojeda, Mauricio",0.924901185770751,Región Metropolitana de Santiago (47),Región de la Araucanía (11),Ind-PL,Ind-PLR,Viviana Delgado Riquelme,Mauricio Ojeda Rebolledo,centro_izquierda,derecha,,,,,no_link_found,,
"Matheson, Christian","Pizarro, Lorena",0.924901185770751,Región de Magallanes y la Antártica Chilena (3),Región Metropolitana de Santiago (47),Ind-Evópoli,PCCh,Christian Matheson Villan,Lorena Pizarro Sierra,centro_derecha,izquierda,,,,,no_link_found,,
"Barchiesi, Chiara","Serrano, Daniela",0.924901185770751,Región de Valparaíso (16),Región Metropolitana de Santiago (47),PLR,PCCh,Chiara Barchiesi Chavez,Daniela Serrano Salazar,derecha,izquierda,,,,,no_link_found,,
"Kaiser, Johannes","Palma, Hernan",0.924901185770751,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PLR,PH,Johannes Kaiser Barents-Von Hohenhagen,Hernan Palma Perez,derecha,izquierda,,,,,no_link_found,,
"Gazmuri, Ana Maria","Lilayu, Daniel",0.924901185770751,Región Metropolitana de Santiago (47),Región de Los Lagos (9),AH,UDI,Ana Maria Gazmuri Vieira,Daniel Lilayu Vivanco,izquierda,centro_derecha,,,,,no_link_found,,
"Acevedo, Maria Candelaria","Araya, Cristian",0.924901185770751,Región del Biobío (13),Región Metropolitana de Santiago (47),PCCh,PLR,Maria Candelaria Acevedo Saez,Cristian Araya Lerdo de Tejada,izquierda,derecha,,,,,no_link_found,,
"Nuyado, Emilia","Ojeda, Mauricio",0.9262187088274044,Región de Los Lagos (9),Región de la Araucanía (11),PS,Ind-PLR,Emilia Nuyado Ancapichun,Mauricio Ojeda Rebolledo,centro_izquierda,derecha,,,,,no_link_found,,
"Cariola, Karol","Sanchez, Luis",0.9262187088274044,Región Metropolitana de Santiago (47),Región de Valparaíso (16),PCCh,PLR,Karol Cariola Oliva,Luis Sanchez Ossa,izquierda,derecha,454.0,karol cariola,luis sanchez,negative,negative,Unknown,132.0
"Sanchez, Luis","Tello, Carolina",0.927536231884058,Región de Valparaíso (16),Región de Coquimbo (7),PLR,PCCh,Luis Sanchez Ossa,Carolina Tello Rojas,derecha,izquierda,,,,,no_link_found,,
"Castillo, Nathalie","Meza, Jose Carlos",0.927536231884058,Región de Coquimbo (7),Región Metropolitana de Santiago (47),PCCh,PLR,Nathalie Castillo Rojas,Jose Carlos Meza Pereira,izquierda,derecha,,,,,no_link_found,,
"Ibanez, Diego","Sanchez, Luis",0.927536231884058,Región de Valparaíso (16),Región de Valparaíso (16),CS,PLR,Diego Ibanez Cotroneo,Luis Sanchez Ossa,izquierda,derecha,,,,,no_link_found,,
"Cuello, Luis Alberto","Meza, Jose Carlos",0.927536231884058,Región de Valparaíso (16),Región Metropolitana de Santiago (47),PCCh,PLR,Luis Cuello Pena y Lillo,Jose Carlos Meza Pereira,izquierda,derecha,,,,,no_link_found,,
"Cariola, Karol","Cornejo, Eduardo",0.9288537549407114,Región Metropolitana de Santiago (47),Región del Libertador General Bernardo O'Higgins (9),PCCh,UDI,Karol Cariola Oliva,Eduardo Cornejo Lagos,izquierda,centro_derecha,,,,,no_link_found,,
"Kaiser, Johannes","Perez, Catalina",0.9288537549407114,Región Metropolitana de Santiago (47),Región de Antofagasta (5),PLR,RD,Johannes Kaiser Barents-Von Hohenhagen,Catalina Perez Salinas,derecha,izquierda,,,,,no_link_found,,
"Romero, Leonidas","Sagardia, Clara",0.9288537549407114,Región del Biobío (13),Región del Biobío (13),Ind-RN,Ind-CS,Leonidas Romero Saez,Clara Sagardia Cabezas,centro_derecha,izquierda,,,,,no_link_found,,
"Kaiser, Johannes","Veloso, Consuelo",0.9288537549407114,Región Metropolitana de Santiago (47),Región del Maule (11),PLR,RD,Johannes Kaiser Barents-Von Hohenhagen,Consuelo Veloso Avila,derecha,izquierda,,,,,no_link_found,,
"Kaiser, Johannes","Tello, Carolina",0.9288537549407114,Región Metropolitana de Santiago (47),Región de Coquimbo (7),PLR,PCCh,Johannes Kaiser Barents-Von Hohenhagen,Carolina Tello Rojas,derecha,izquierda,,,,,no_link_found,,
"Placencia, Alejandra","Romero, Agustin",0.9288537549407114,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PCCh,PLR,Alejandra Placencia Cabello,Agustin Romero Leiva,izquierda,derecha,,,,,no_link_found,,
"Nuyado, Emilia","Romero, Leonidas",0.9288537549407114,Región de Los Lagos (9),Región del Biobío (13),PS,Ind-RN,Emilia Nuyado Ancapichun,Leonidas Romero Saez,centro_izquierda,centro_derecha,,,,,no_link_found,,
"Kaiser, Johannes","Winter, Gonzalo",0.9288537549407114,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),PLR,CS,Johannes Kaiser Barents-Von Hohenhagen,Gonzalo Winter Etcheberry,derecha,izquierda,,,,,no_link_found,,
"Ibanez, Diego","Romero, Agustin",0.930171277997365,Región de Valparaíso (16),Región Metropolitana de Santiago (47),CS,PLR,Diego Ibanez Cotroneo,Agustin Romero Leiva,izquierda,derecha,,,,,no_link_found,,
"Moreira, Cristhian","Ramirez, Matias",0.930171277997365,Región Metropolitana de Santiago (47),Región de Tarapacá (3),UDI,PCCh,Cristhian Moreira Barros,Matias Ramirez Pascal,centro_derecha,izquierda,,,,,no_link_found,,
"Hertz, Carmen","Weisse, Flor",0.930171277997365,Región Metropolitana de Santiago (47),Región del Biobío (13),PCCh,UDI,Carmen Hertz Cadiz,Flor Weisse Novoa,izquierda,centro_derecha,,,,,no_link_found,,
"Barchiesi, Chiara","Cariola, Karol",0.930171277997365,Región de Valparaíso (16),Región Metropolitana de Santiago (47),PLR,PCCh,Chiara Barchiesi Chavez,Karol Cariola Oliva,derecha,izquierda,,,,,no_link_found,,
"Delgado, Viviana","Kaiser, Johannes",0.9314888010540184,Región Metropolitana de Santiago (47),Región Metropolitana de Santiago (47),Ind-PL,PLR,Viviana Delgado Riquelme,Johannes Kaiser Barents-Von Hohenhagen,centro_izquierda,derecha,,,,,no_link_found,,
"Ojeda, Mauricio","Pizarro, Lorena",0.932806324110672,Región de la Araucanía (11),Región Metropolitana de Santiago (47),Ind-PLR,PCCh,Mauricio Ojeda Rebolledo,Lorena Pizarro Sierra,derecha,izquierda,,,,,no_link_found,,
"Celis, Andres","Serrano, Daniela",0.932806324110672,Región de Valparaíso (16),Región Metropolitana de Santiago (47),RN,PCCh,Andres Celis Montt,Daniela Serrano Salazar,centro_derecha,izquierda,,,,,no_link_found,,
"Flores, Camila","Sagardia, Clara",0.932806324110672,Región de Valparaíso (16),Región del Biobío (13),RN,Ind-CS,Camila Flores Oporto,Clara Sagardia Cabezas,centro_derecha,izquierda,,,,,no_link_found,,
"Bobadilla, Sergio","Ramirez, Matias",0.932806324110672,Región del Biobío (13),Región de Tarapacá (3),UDI,PCCh,Sergio Bobadilla Munoz,Matias Ramirez Pascal,centro_derecha,izquierda,,,,,no_link_found,,
